GENE PRODUCT ID,GO TERM
O00159,GO:0005737
O00159,GO:0005886
O00159,GO:0005902
O00159,GO:0015629
O00159,GO:0005654
O00159,GO:0005829
O00159,GO:0009925
O00159,GO:0016020
O00159,GO:0016328
O00159,GO:0016604
O00159,GO:0045121
O00159,GO:0070062
O00159,GO:0016461
O00159,GO:0031941
O00160,GO:0005737
O00160,GO:0005886
O00160,GO:0005902
O00160,GO:0015629
O00160,GO:0005829
O00160,GO:0016461
O00161,GO:0005886
O00161,GO:0005654
O00161,GO:0005737
O00161,GO:0005912
O00161,GO:0005925
O00161,GO:0030670
O00161,GO:0035579
O00161,GO:0042581
O00161,GO:0042582
O00161,GO:0070062
O00161,GO:0070821
O00161,GO:0005739
O00161,GO:0031201
O00161,GO:0070032
O00165,GO:0005739
O00165,GO:0015629
O00165,GO:0016324
O00165,GO:0016529
O00165,GO:0030136
O00165,GO:0005635
O00165,GO:0005741
O00165,GO:0005758
O00165,GO:0005783
O00165,GO:0030027
O00165,GO:0005667
O00167,GO:0005634
O00167,GO:0005654
O00167,GO:0005829
O00168,GO:0005886
O00168,GO:0005901
O00168,GO:0014704
O00168,GO:0016324
O00168,GO:0030315
O00168,GO:0042383
O00168,GO:0005890
O00170,GO:0005886
O00170,GO:0005654
O00170,GO:0005737
O00170,GO:0005829
O00175,GO:0005615
O00178,GO:0005829
O00178,GO:0016020
O00178,GO:0000177
O00180,GO:0005886
O00180,GO:0016020
O00180,GO:0043231
O00180,GO:0008076
O00180,GO:0034705
O00182,GO:0005634
O00182,GO:0005829
O00182,GO:0005615
O00182,GO:0005737
O00182,GO:0062023
O00186,GO:0005886
O00186,GO:0030141
O00186,GO:0098793
O00186,GO:0005829
O00186,GO:0031091
O00186,GO:0042581
O00186,GO:0070062
O00186,GO:0070820
O00187,GO:0005615
O00187,GO:0005576
O00187,GO:0070062
O00189,GO:0005802
O00189,GO:0031410
O00189,GO:0005769
O00189,GO:0030124
O00189,GO:0031904
O00189,GO:0032588
O00189,GO:0070062
O00192,GO:0005634
O00192,GO:0005737
O00192,GO:0005886
O00192,GO:0005912
O00193,GO:0005575
O00194,GO:0005794
O00194,GO:0016324
O00194,GO:0030141
O00194,GO:0042470
O00194,GO:0070382
O00194,GO:0005770
O00194,GO:0005795
O00194,GO:0005886
O00194,GO:0030140
O00194,GO:0031088
O00194,GO:0032585
O00194,GO:0070062
O00198,GO:0005739
O00203,GO:0005765
O00203,GO:0005769
O00203,GO:0005794
O00203,GO:0016020
O00203,GO:0030123
O00204,GO:0005737
O00204,GO:0005829
O00204,GO:0043231
O00204,GO:0070062
O00206,GO:0005886
O00206,GO:0010008
O00206,GO:0001891
O00206,GO:0005737
O00206,GO:0009897
O00206,GO:0009986
O00206,GO:0043235
O00206,GO:0048471
O00206,GO:0046696
O00212,GO:0005829
O00212,GO:0005886
O00212,GO:0000139
O00212,GO:0005741
O00212,GO:0010008
O00213,GO:0005634
O00213,GO:0005737
O00213,GO:0005654
O00213,GO:0005783
O00213,GO:0005886
O00213,GO:0030027
O00213,GO:0030426
O00213,GO:0045202
O00214,GO:0005737
O00214,GO:0005615
O00214,GO:0005829
O00214,GO:0016020
O00217,GO:0005739
O00217,GO:0005743
O00217,GO:0005747
O00217,GO:0005759
O00219,GO:0005794
O00219,GO:0005886
O00219,GO:0016020
O00219,GO:0036117
O00220,GO:0005886
O00220,GO:0009986
O00220,GO:0005794
O00220,GO:0005829
O00220,GO:0045121
O00221,GO:0005737
O00221,GO:0001650
O00221,GO:0005654
O00221,GO:0005829
O00222,GO:0005886
O00230,GO:0005615
O00230,GO:0005576
O00231,GO:0000502
O00231,GO:0005576
O00231,GO:0005634
O00231,GO:0005654
O00231,GO:0005829
O00231,GO:0016020
O00231,GO:0034774
O00231,GO:1904813
O00231,GO:0008541
O00231,GO:0022624
O00232,GO:0005737
