From src:'1'	To src:'2'
CHEMBL893	DB00485
CHEMBL14021	DB03766
CHEMBL3707335	DB13280
CHEMBL572284	DB12882
CHEMBL539934	DB12088
CHEMBL4297392	DB12959
CHEMBL1229585	DB06842
CHEMBL457530	DB01686
CHEMBL374107	DB01667
CHEMBL1411	DB12406
CHEMBL367149	DB03756
CHEMBL298734	DB06448
CHEMBL225664	DB08062
CHEMBL2106801	DB13533
CHEMBL432162	DB01349
CHEMBL207994	DB07314
CHEMBL3545154	DB12114
CHEMBL2105566	DB01550
CHEMBL4299940	DB16236
CHEMBL170	DB00468
CHEMBL1072	DB00887
CHEMBL1233922	DB08076
CHEMBL3184437	DB13269
CHEMBL4297323	DB11839
CHEMBL3187683	DB05343
CHEMBL560511	DB00921
CHEMBL4297655	DB12528
CHEMBL1159662	DB04286
CHEMBL1236446	DB01991
CHEMBL2105897	DB11150
CHEMBL4068611	DB14976
CHEMBL286939	DB01962
CHEMBL826	DB00467
CHEMBL573077	DB07144
CHEMBL410807	DB03393
CHEMBL120563	DB13245
CHEMBL226335	DB01698
CHEMBL4303596	DB16879
CHEMBL1201335	DB00986
CHEMBL497318	DB14734
CHEMBL259551	DB07794
CHEMBL454801	DB09270
CHEMBL482968	DB16891
CHEMBL117651	DB03005
CHEMBL1096927	DB13153
CHEMBL4639024	DB12276
CHEMBL218291	DB06185
CHEMBL1234905	DB08315
CHEMBL451855	DB03070
CHEMBL18602	DB01919
CHEMBL846	DB00136
CHEMBL1230016	DB06996
CHEMBL99965	DB08680
CHEMBL1295	DB00639
CHEMBL411729	DB16766
CHEMBL526479	DB08553
CHEMBL531	DB01186
CHEMBL1234777	DB02381
CHEMBL3301610	DB12001
CHEMBL4130229	DB17141
CHEMBL240163	DB11774
CHEMBL4279047	DB17097
CHEMBL406819	DB11421
CHEMBL236687	DB15289
CHEMBL430893	DB04149
CHEMBL1201245	DB01237
CHEMBL220428	DB07994
CHEMBL2104027	DB01499
CHEMBL3264002	DB15254
CHEMBL1495	DB00383
CHEMBL1098659	DB09145
CHEMBL1483877	DB13544
CHEMBL2105750	DB12069
CHEMBL2106755	DB01397
CHEMBL295124	DB04115
CHEMBL2107779	DB12094
CHEMBL25105	DB03808
CHEMBL1098060	DB08355
CHEMBL262747	DB11906
CHEMBL2111144	DB11555
CHEMBL416755	DB13627
CHEMBL993	DB03462
CHEMBL24957	DB07981
CHEMBL403673	DB07251
CHEMBL3109802	DB16243
CHEMBL15245	DB01392
CHEMBL352531	DB12300
CHEMBL116296	DB02252
CHEMBL1201321	DB01501
CHEMBL4594214	DB06283
CHEMBL2106246	DB09243
CHEMBL1199324	DB06717
CHEMBL383921	DB00234
CHEMBL4650337	DB15665
CHEMBL946	DB00719
CHEMBL539378	DB12799
CHEMBL259621	DB07506
CHEMBL267473	DB03052
CHEMBL424	DB00936
CHEMBL3545017	DB14969
CHEMBL1532	DB01325
CHEMBL1201265	DB14644
CHEMBL3989560	DB12351
CHEMBL36633	DB13601
CHEMBL1230547	DB07225
CHEMBL165372	DB04534
CHEMBL331057	DB03067
CHEMBL6640	DB08653
CHEMBL1697834	DB01495
CHEMBL611	DB01162
CHEMBL508461	DB03367
CHEMBL404313	DB14054
CHEMBL4650283	DB16050
CHEMBL245019	DB12617
CHEMBL132722	DB02596
CHEMBL4297849	DB15177
