Uniprot_id,Family,KEGG,ChEMBL,GtoPdb,score
P20701,Others,0,0,0,0
P20711,Enzymes,1,1,1,3
P20810,Others,0,0,0,0
P20813,Enzymes,0,1,1,2
P20815,Enzymes,1,1,1,3
P20839,Enzymes,1,1,1,3
P20851,Others,0,0,0,0
P21266,Enzymes,1,1,0,2
P21281,Enzymes,0,1,0,1
P21283,Others,0,0,0,0
P21291,Others,0,0,0,0
P21333,Others,0,0,0,0
P21397,Enzymes,1,1,1,3
P21452,GPCR,1,1,1,3
P21453,GPCR,1,1,1,3
P21462,GPCR,1,1,1,3
P21549,Enzymes,1,1,0,2
P21554,GPCR,1,1,1,3
P21589,Enzymes,1,1,1,3
P21695,Enzymes,1,0,0,1
P21709,Enzymes,1,1,0,2
P21728,GPCR,1,1,1,3
P21730,GPCR,1,1,1,3
P21731,GPCR,1,1,1,3
P21796,IC,1,0,0,1
P21802,Enzymes,1,1,0,2
P21817,IC,1,1,1,3
P21860,Enzymes,1,1,0,2
P21917,GPCR,1,1,1,3
P21918,GPCR,1,1,1,3
P21964,Enzymes,1,1,1,3
P22001,IC,1,1,1,3
P22033,Enzymes,1,0,0,1
P22102,Enzymes,1,1,1,3
P22303,Enzymes,1,1,1,3
P22309,Enzymes,1,1,1,3
P22314,Enzymes,1,1,0,2
P22413,Enzymes,1,1,0,2
P22455,Enzymes,1,1,0,2
P22459,IC,1,1,1,3
P22460,IC,1,1,1,3
P22557,Enzymes,1,0,0,1
P22607,Enzymes,1,1,0,2
P22626,Others,0,0,0,0
P22694,Enzymes,1,1,1,3
P22748,Enzymes,1,1,1,3
P22792,Enzymes,0,0,1,1
P22830,Enzymes,1,1,0,2
P22888,GPCR,1,1,1,3
P22894,Enzymes,1,1,1,3
P23141,Enzymes,1,1,1,3
P23219,Enzymes,1,1,1,3
P23246,Others,0,0,0,0
P23258,Others,0,0,0,0
P23297,Others,0,0,0,0
P23381,Enzymes,1,0,0,1
P23415,IC,1,1,1,3
P23458,Enzymes,1,1,1,3
P23469,Enzymes,1,1,0,2
P23526,Enzymes,1,1,1,3
P23528,Others,0,0,0,0
P23560,Others,0,0,0,0
P23634,Enzymes,1,0,0,1
P23743,Enzymes,1,1,1,3
P23786,Enzymes,1,1,1,3
P23921,Enzymes,1,1,1,3
P23945,GPCR,1,1,1,3
P23975,Others,0,0,0,0
P24046,IC,1,1,1,3
P24310,Others,0,0,0,0
P24311,Others,0,0,0,0
P24385,Enzymes,0,1,0,1
P24462,Enzymes,1,1,1,3
P24530,GPCR,1,1,1,3
P24752,Enzymes,1,1,1,3
P24941,Enzymes,1,1,1,3
P25021,GPCR,1,1,1,3
P25024,GPCR,1,1,1,3
P25092,Enzymes,1,1,0,2
P25100,GPCR,1,1,1,3
P25101,GPCR,1,1,1,3
P25103,GPCR,1,1,1,3
P25105,GPCR,1,1,1,3
P25116,GPCR,1,1,1,3
P25311,Others,0,0,0,0
P25705,Enzymes,0,1,0,1
P25774,Enzymes,1,1,1,3
P25788,Enzymes,1,1,0,2
P25815,Others,0,0,0,0
P25963,Others,0,0,0,0
P26358,Enzymes,1,0,1,2
P26439,Enzymes,1,1,1,3
P26447,Others,0,0,0,0
P27169,Enzymes,1,1,1,3
P27338,Enzymes,1,1,1,3
P27348,Others,0,0,0,0
P27361,Enzymes,1,1,1,3
P27448,Enzymes,1,1,1,3
P27449,Others,0,0,0,0
P27487,Enzymes,1,1,1,3
P27635,Others,0,0,0,0
P27707,Enzymes,1,1,0,2
P27708,Enzymes,1,1,0,2
P27797,Others,0,0,0,0
P27815,Enzymes,1,1,1,3
P27824,Others,0,0,0,0
P27986,Enzymes,0,1,1,2
P28062,Enzymes,1,1,1,3
P28065,Enzymes,1,1,1,3
P28074,Enzymes,1,1,1,3
P28161,Enzymes,1,1,0,2
P28221,GPCR,1,1,1,3
P28222,GPCR,1,1,1,3
P28223,GPCR,1,1,1,3
P28329,Enzymes,1,1,1,3
P28335,GPCR,1,1,1,3
P28472,IC,1,1,1,3
P28476,IC,1,1,1,3
P28482,Enzymes,1,1,1,3
P28566,GPCR,1,1,1,3
P28676,Others,0,0,0,0
P28702,NR,1,1,1,3
P28845,Enzymes,1,1,1,3
P29034,Others,0,0,0,0
P29074,Enzymes,1,1,0,2
P29218,Enzymes,1,1,1,3
P29274,GPCR,1,1,1,3
P29275,GPCR,1,1,1,3
P29317,Enzymes,1,1,0,2
P29320,Enzymes,1,1,0,2
P29322,Enzymes,1,1,0,2
P29323,Enzymes,1,1,0,2
P29350,Enzymes,1,1,0,2
P29371,GPCR,1,1,1,3
P29372,Enzymes,1,1,0,2
P29376,Enzymes,1,1,0,2
P29401,Enzymes,1,1,0,2
P29466,Enzymes,1,1,1,3
P29474,Enzymes,1,1,1,3
P29475,Enzymes,1,1,1,3
P29590,NR,0,1,0,1
P29597,Enzymes,1,1,1,3
P29762,Others,0,0,0,0
P29972,IC,0,1,1,2
P29973,IC,1,0,1,2
P30041,Enzymes,1,1,0,2
P30043,Enzymes,1,1,0,2
P30044,Enzymes,1,1,0,2
P30049,Others,0,0,0,0
P30085,Enzymes,1,1,0,2
P30086,Others,0,0,0,0
P30101,Enzymes,1,1,1,3
P30291,Enzymes,1,1,1,3
P30405,Enzymes,1,1,0,2
P30411,GPCR,1,1,1,3
P30518,GPCR,1,1,1,3
P30520,Enzymes,1,1,0,2
P30530,Enzymes,1,1,0,2
P30531,Others,0,0,0,0
P30532,IC,1,1,1,3
P30536,Others,0,0,0,0
P30542,GPCR,1,1,1,3
P30556,GPCR,1,1,1,3
P30559,GPCR,1,1,1,3
P30613,Enzymes,1,1,1,3
P30626,Others,0,0,0,0
P30793,Enzymes,1,0,0,1
P30872,GPCR,1,1,1,3
P30874,GPCR,1,1,1,3
P30926,IC,1,1,1,3
P30939,GPCR,1,1,1,3
P30968,GPCR,1,1,1,3
P30988,GPCR,1,1,1,3
P31025,Others,0,0,0,0
P31040,Enzymes,1,1,0,2
P31151,Others,0,0,0,0
P31152,Enzymes,1,1,1,3
P31153,Enzymes,1,1,0,2
P31213,Enzymes,1,1,1,3
P31260,Others,0,0,0,0
P31323,Enzymes,0,1,1,2
P31350,Enzymes,1,1,1,3
P31391,GPCR,1,1,1,3
P31415,Others,0,0,0,0
P31639,Others,0,0,0,0
P31644,IC,1,1,1,3
P31645,Others,0,0,0,0
P31749,Enzymes,1,1,1,3
P31751,Enzymes,1,1,1,3
P31930,Others,0,0,0,0
P31939,Enzymes,1,1,0,2
P31942,Others,0,0,0,0
P31943,Others,0,0,0,0
P31946,Others,0,0,0,0
P32004,Others,0,0,0,0
P32119,Enzymes,1,1,0,2
P32238,GPCR,1,1,1,3
P32239,GPCR,1,1,1,3
P32297,IC,1,1,1,3
P32320,Enzymes,1,1,1,3
P32418,Others,0,0,0,0
P32745,GPCR,1,1,1,3
P33151,Others,0,0,0,0
P33261,Enzymes,1,1,1,3
P33402,Enzymes,1,1,0,2
P33981,Enzymes,1,1,1,3
P34896,Enzymes,1,1,0,2
P34897,Enzymes,1,1,0,2
P34903,IC,1,1,1,3
P34913,Enzymes,1,1,1,3
P34932,Others,0,0,0,0
P34969,GPCR,1,1,1,3
P34972,GPCR,1,1,1,3
P34981,GPCR,1,1,1,3
P34995,GPCR,1,1,1,3
P35218,Enzymes,1,1,1,3
P35228,Enzymes,1,1,1,3
P35346,GPCR,1,1,1,3
P35348,GPCR,1,1,1,3
P35354,Enzymes,1,1,1,3
P35367,GPCR,1,1,1,3
