DrugBank_id,Uniprot_id
DB00361,Q13509
DB00570,Q13509
DB01229,Q13509
DB01248,Q13509
DB01394,Q13509
DB06772,Q13509
DB08871,Q13509
DB11641,Q13509
DB00361,P68366
DB00570,P68366
DB01229,P68366
DB01248,P68366
DB01394,P68366
DB04845,P68366
DB06772,P68366
DB08871,P68366
DB11641,P68366
DB00361,Q9H4B7
DB00570,Q9H4B7
DB01394,Q9H4B7
DB04845,Q9H4B7
DB11641,Q9H4B7
DB00361,P68371
DB00570,P68371
DB01229,P68371
DB01248,P68371
DB01394,P68371
DB04845,P68371
DB06772,P68371
DB08871,P68371
DB11641,P68371
DB00361,Q9BQE3
DB00570,Q9BQE3
DB01229,Q9BQE3
DB01248,Q9BQE3
DB01394,Q9BQE3
DB04845,Q9BQE3
DB06772,Q9BQE3
DB08871,Q9BQE3
DB11641,Q9BQE3
DB00361,P68363
DB00570,P68363
DB01229,P68363
DB01248,P68363
DB01394,P68363
DB04845,P68363
DB06772,P68363
DB08871,P68363
DB11641,P68363
DB00361,Q13885
DB00570,Q13885
DB01229,Q13885
DB01248,Q13885
DB01394,Q13885
DB01873,Q13885
DB03010,Q13885
DB04845,Q13885
DB06772,Q13885
DB08871,Q13885
DB11641,Q13885
DB00361,Q9BUF5
DB00570,Q9BUF5
DB01229,Q9BUF5
DB01248,Q9BUF5
DB01394,Q9BUF5
DB01873,Q9BUF5
DB03010,Q9BUF5
DB04845,Q9BUF5
DB06772,Q9BUF5
DB08871,Q9BUF5
DB11641,Q9BUF5
DB01229,P07437
DB01248,P07437
DB04845,P07437
DB06772,P07437
DB08871,P07437
DB00361,Q71U36
DB01229,Q71U36
DB01248,Q71U36
DB01394,Q71U36
DB04845,Q71U36
DB06772,Q71U36
DB08871,Q71U36
DB11641,Q71U36
DB00361,P04350
DB00570,P04350
DB01229,P04350
DB01248,P04350
DB01394,P04350
DB04845,P04350
DB06772,P04350
DB08871,P04350
DB11641,P04350
DB00370,P18825
DB00449,P18825
DB00598,P18825
DB00633,P18825
DB00668,P18825
DB00964,P18825
DB00968,P18825
DB01018,P18825
DB01364,P18825
DB04948,P18825
DB06711,P18825
DB00449,P13945
DB00521,P13945
DB00598,P13945
DB00668,P13945
DB01136,P13945
DB01364,P13945
DB00370,P18089
DB00449,P18089
DB00598,P18089
DB00633,P18089
DB00696,P18089
DB00968,P18089
DB01364,P18089
DB04948,P18089
DB06711,P18089
DB00598,P08913
DB01364,P08913
DB01191,P46098
DB04832,P46098
DB06288,P46098
DB00941,P22303
DB01057,P22303
DB00390,P50993
DB00511,P50993
DB01078,P50993
DB01396,P50993
DB00390,P14415
DB00511,P14415
DB01078,P14415
DB01396,P14415
DB00390,P54709
DB00511,P54709
DB01078,P54709
DB01396,P54709
DB00390,P13637
DB00511,P13637
DB01078,P13637
DB01396,P13637
DB00390,P05026
DB00511,P05026
DB01078,P05026
DB01396,P05026
DB00390,Q13733
DB00511,Q13733
DB01078,Q13733
DB01396,Q13733
DB00390,P54710
DB00511,P54710
DB01078,P54710
DB01396,P54710
DB04849,P09619
DB04879,P09619
DB05465,P09619
DB12307,P09619
DB12874,P09619
DB05928,P36888
DB12307,P36888
DB04849,P17948
DB05294,P17948
DB05928,P17948
DB06436,P17948
DB12307,P17948
DB04849,P35916
DB05294,P35916
DB05928,P35916
DB06436,P35916
DB12307,P35916
DB05294,P35968
DB05928,P35968
DB04849,P10721
DB04879,P10721
DB05465,P10721
DB05928,P10721
DB06436,P10721
DB12307,P10721
DB12874,P10721
DB01268,P07949
DB11363,P07949
DB12874,P07949
DB00435,Q02108
DB00727,Q02108
DB00883,Q02108
DB01020,Q02108
DB06154,Q02108
DB08931,Q02108
DB15456,Q02108
DB00727,P33402
DB00883,P33402
DB06154,P33402
DB15456,P33402
DB00435,Q02153
DB00727,Q02153
DB00883,Q02153
DB01020,Q02153
